GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PMML class model evaluator code coverage,org.jpmml.evaluator,RichDataField,12,84,1,6,3,24,2,7,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,InvalidResultException,5,4,0,0,2,2,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,FunctionException,3,14,0,0,1,6,1,2,1,2
PMML class model evaluator code coverage,org.jpmml.evaluator,InlineTableUtil.new CacheLoader() {...},0,7,0,0,0,2,0,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,VerificationUtil,7,98,4,22,3,12,5,12,1,3
PMML class model evaluator code coverage,org.jpmml.evaluator,SecondsSinceMidnight.HoursOfEpochFieldType.new PreciseDurationDateTimeField() {...},0,21,0,0,0,6,0,5,0,5
PMML class model evaluator code coverage,org.jpmml.evaluator,MeasureUtil,208,362,47,44,46,72,35,24,3,8
PMML class model evaluator code coverage,org.jpmml.evaluator,PMMLEquivalence,12,60,2,4,3,20,3,7,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions,23,296,2,0,6,59,3,1,2,1
PMML class model evaluator code coverage,org.jpmml.evaluator,MiningFieldUtil.new Object() {...},2,21,0,0,0,2,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,JavaPredicate,5,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,TextUtil.TermProcessor,0,37,1,1,0,11,1,2,0,2
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactory,3,25,1,1,1,10,1,4,0,4
PMML class model evaluator code coverage,org.jpmml.evaluator,MatrixUtil,46,276,19,43,11,73,20,21,1,6
PMML class model evaluator code coverage,org.jpmml.evaluator,Evaluator,0,3,0,0,0,1,0,1,0,1
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory,48,0,2,0,9,0,7,0,6,0
PMML class model evaluator code coverage,org.jpmml.evaluator,BatchTest,34,31,4,4,7,13,4,5,1,4
PMML class model evaluator code coverage,org.jpmml.evaluator,ExtensionUtil,5,9,1,1,3,3,2,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,DuplicateValueException,11,0,0,0,4,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,FloatVector,28,0,0,0,5,0,5,0,5,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingSimpleDoubleVector() {...},10,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,ReportingValueFactoryFactory.ReportingDoubleValueFactory.new ReportingComplexDoubleVector() {...},11,0,0,0,2,0,2,0,2,0
PMML class model evaluator code coverage,org.jpmml.evaluator,Report,36,22,4,2,9,5,5,3,3,2
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new FpMathFunction() {...},5,4,0,0,1,1,1,1,1,1
PMML class model evaluator code coverage,org.jpmml.evaluator,Functions.new FpMathFunction() {...},0,9,0,0,0,2,0,2,0,2
